profile_id,rent,move_in_date,house_type,beds_vacant,name,description,city
2,11000,5/6/2015,Apartment,1,stag saptgiri,"No.44,Ground floor,20th cross,Sector 2 HSR Layout,Bangalore.",bangalore
5,9000,15-05-2015,Apartment,4,sri sai enclave,"No.44,First floor,20th cross,Sector 2 HSR Layout.",bangalore
7,6500,20-11-2015,Apartment,1,Juniper appartments,"# 595/1, 1st Floor,1st A main, Domlur Layout",bangalore
6,10200,25-12-2015,Apartment,1,Apoorva society,"Flat No-202, Apoorva Apartment No-296 Vyalikaval House Building Cooperative Society Ltd Nagavara",Delhi
10,7500,20-06-2015,Independent,1,VaK Residency,"302,#473 VAK Residency, B-Block, AECS Layout Kundalahalli,",Delhi
14,13500,7/1/2016,Independent,1,uniworld,"D1-1201, Uniworld Garden 2",Pune
11,8000,29-08-2015,Independent,1,Vinayaka residency,"49, House 1 lathangi 2nd main vinayaka housing layout, RMV 2nd stage bhoopasandra",Pune
19,7500,26-09-2015,Independent,2,Sun city appartments,"Majeera Diamond Towers,malad-west",Pune
